time,Muff_AW-INFO,Muff_INFO-ETI,Muff_AW-ZHI,Muff_HKW-DLR,Muff_DLR-ATRIUM,Muff_ZHI-HdM,Muff_AW-KZS1,Muff_AW-KZS2,Muff_IFF-ZAQ,Muff_ZAQ-IFKB
02.01.2023 13:00,12639.768212756177,15994.768417376645,15097.500920792101,13810.117121344714,15838.721896231507,14785.407878501828,15175.52418136467,18608.54764655771,16618.9545019572,21495.408287742765
02.01.2023 13:15,11630.493421064406,14717.599699495084,13891.97825293804,12707.390960051844,14574.013360963427,13604.805575874727,13963.771422203872,17122.670869900383,15291.945053621721,19779.018132736077
02.01.2023 13:30,10553.089850179069,13354.218637572289,12605.079543269445,11530.227799269725,13223.933577693526,12344.509423511938,12670.222073208824,15536.49339054141,13875.358877087296,17946.766998298357
02.01.2023 13:45,9420.555575321358,11921.073413215301,11252.330270522732,10292.829239702967,11804.77025796442,11019.723960020972,11310.481848148176,13869.151263667556,12386.286034218829,16020.759635808854
02.01.2023 14:00,8249.541884360053,10439.235100579084,9853.61947298562,9013.388355134133,10337.38890447587,9649.9270807792,9904.542571037227,12145.158885307857,10846.619884991924,14029.313513217254
02.01.2023 14:15,5577.737166521591,7058.247648993373,6662.297171123004,6094.194311569888,6989.386696320267,6524.5752657768,6696.727647459564,8211.668606267898,7333.691459685796,9485.59623072036
02.01.2023 14:30,3549.920944024407,4492.18391064817,4240.183349806932,3878.617327730372,4448.357726154042,4152.530980818675,4262.096442053994,5226.272500924823,4667.488648624685,6037.056914066201
02.01.2023 14:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 15:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 15:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 15:45,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.0485284391534395e-05,2.6496224647266313e-05
02.01.2023 16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 16:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 16:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 16:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 17:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 17:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 17:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 18:00,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232803e-05,1.9523533950617288e-05,1.8225170855379197e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
02.01.2023 18:15,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.0485284391534385e-05,2.6496224647266323e-05
02.01.2023 18:30,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232813e-05,1.9523533950617288e-05,1.8225170855379187e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
02.01.2023 18:45,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537916e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
02.01.2023 19:00,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.04852843915344e-05,2.6496224647266313e-05
02.01.2023 19:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 19:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 19:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 20:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 20:30,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232776e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
02.01.2023 20:45,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.870604607583774e-05,2.293774801587302e-05,2.0485284391534395e-05,2.6496224647266313e-05
02.01.2023 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 21:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 21:30,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
02.01.2023 21:45,1.558035714285713e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
02.01.2023 22:00,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232803e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
02.01.2023 22:15,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
02.01.2023 22:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 22:45,1.5580357142857138e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
02.01.2023 23:00,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837736e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
02.01.2023 23:15,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232783e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
02.01.2023 23:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 23:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03.01.2023 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03.01.2023 00:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
